Wellmedica,"90 Resolution Drive, Unit 2",Clinic,Brampton,Ontario,ca,"43.67686,-79.721978",wellmedicalarts.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Do No Harm Clinic,9-3151 Lakeshore Rd #421,Clinic,Kelowna,British Columbia,ca,"49.8607674,-119.4902713",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Chronic Pain Toronto,889 Avenue Rd,Clinic,Toronto,Ontario,ca,"43.7002212,-79.40646199999999",chronicpaintoronto.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Flight Cannabis Co.,847 Bruce Ave,Retail Store,Nanaimo,British Columbia,ca,"49.14499559999999,-123.9509128",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Bodystream,836 Upper Canada Dr #1F,Clinic,Sarnia,Ontario,ca,"42.9613252,-82.3415996",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Medi-Green Cannabis Clinic,800 Princess St,Clinic,Kingston,Ontario,ca,"44.2389873,-76.5072859",medi-green.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Cannabinoid Medical Clinic,"8-10 Rowan Street, Suite 206",Clinic,St. John's,NL,ca,"47.5744306,-52.7221741",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,754 Falconbridge Rd,Clinic,Sudbury,Ontario,ca,"46.5150448,-80.9265734",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
High5 Cannabis,732 Tyee Rd,Retail Store,Victoria,British Columbia,ca,"48.4352737,-123.3822878",high5cannabis.com,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Bohemian Cannabis Co.,710 Twelfth Street,Retail Store,New Westminster,British Columbia,ca,"49.20918140000001,-122.9327146",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Maple Leaf Greenery Ltd.,71 Sixth street,Retail Store,New Westminster,British Columbia,ca,"49.204846,-122.909565",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Canadian Cannabis Clinics,"699 WILKINS STREET, UNIT 43-45",Clinic,London (South),Ontario,ca,"42.9507386,-81.2316038",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,6960 Mumford Road,Clinic,Halifax,Nova Scotia,ca,"44.6450702,-63.61948770000001",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,6801 170 STREET NW,Clinic,Edmonton,Alberta,ca,"53.503137,-113.614779",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,67 Elgin St,Clinic,Sault Ste. Marie,Ontario,ca,"46.5117906,-84.3347636",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Medical Cannabis Club of Guelph Inc.,62 Baker St,Clinic,Guelph,Ontario,ca,"43.5473114,-80.252106",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,615 Davis Dr,Clinic,Newmarket,Ontario,ca,"44.0614389,-79.4523968",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
CMClinic,"5991 Spring Garden Rd., Suite 440",Clinic,Halifax,Nova Scotia,ca,"44.64107720000001,-63.5867547",canabomedicalclinic.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Natural Health Services,"5809 Macleod Trail SW, Unit #217",Clinic,Calgary,Alberta,ca,"51.0019204,-114.0725768",naturalhealthservices.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,58 Front St E,Clinic,Strathroy,Ontario,ca,"42.9592549,-81.6220646",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"564 SOUTH RAILWAY ST. SE, UNIT 2",Clinic,Medicine Hat,Alberta,ca,"50.0365429,-110.6711927",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,"556 Bryne Drive, Unit 16",Clinic,Barrie,Ontario,ca,"44.3278382,-79.6894113",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,55 Wyndham St N,Clinic,Guelph,Ontario,ca,"43.5462871,-80.24763999999999",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
